,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,2020-03-21,-40.0,-2.0,-3.0,-36.0,-24.0,12.0
1,2020-03-22,-44.0,-13.0,-12.0,-44.0,-31.0,11.0
2,2020-03-23,-38.0,-10.0,-23.0,-47.0,-41.0,17.0
3,2020-03-24,-39.0,-12.0,-10.0,-46.0,-45.0,19.0
4,2020-03-25,-40.0,-15.0,-7.0,-47.0,-46.0,19.0
5,2020-03-26,-40.0,-14.0,3.0,-48.0,-47.0,20.0
6,2020-03-27,-42.0,-16.0,-7.0,-49.0,-46.0,21.0
7,2020-03-28,-48.0,-19.0,-25.0,-49.0,-34.0,15.0
8,2020-03-29,-47.0,-22.0,-19.0,-51.0,-38.0,12.0
9,2020-03-30,-40.0,-18.0,-15.0,-50.0,-48.0,19.0
10,2020-03-31,-40.0,-16.0,-16.0,-49.0,-49.0,20.0
11,2020-04-01,-37.0,-11.0,-7.0,-48.0,-49.0,20.0
12,2020-04-02,-40.0,-11.0,-9.0,-51.0,-50.0,21.0
13,2020-04-03,-42.0,-12.0,-21.0,-51.0,-50.0,22.0
14,2020-04-04,-48.0,-15.0,-24.0,-50.0,-37.0,15.0
15,2020-04-05,-49.0,-20.0,-20.0,-54.0,-40.0,13.0
16,2020-04-06,-42.0,-16.0,-10.0,-52.0,-50.0,20.0
17,2020-04-07,-42.0,-14.0,-2.0,-51.0,-51.0,21.0
18,2020-04-08,-42.0,-15.0,-6.0,-51.0,-51.0,21.0
19,2020-04-09,-43.0,-13.0,-21.0,-54.0,-52.0,22.0
20,2020-04-10,-43.0,-13.0,-21.0,-54.0,-56.0,24.0
21,2020-04-11,-45.0,-7.0,-16.0,-49.0,-38.0,14.0
22,2020-04-12,-63.0,-39.0,-36.0,-56.0,-45.0,13.0
23,2020-04-13,-45.0,-22.0,-31.0,-55.0,-51.0,21.0
24,2020-04-14,-40.0,-16.0,-15.0,-50.0,-50.0,20.0
25,2020-04-15,-36.0,-13.0,-16.0,-49.0,-49.0,20.0
26,2020-04-16,-39.0,-13.0,-14.0,-50.0,-49.0,21.0
27,2020-04-17,-42.0,-17.0,-22.0,-51.0,-48.0,22.0
28,2020-04-18,-45.0,-15.0,-20.0,-47.0,-33.0,14.0
29,2020-04-19,-45.0,-19.0,-10.0,-50.0,-37.0,11.0
30,2020-04-20,-39.0,-16.0,-7.0,-49.0,-48.0,19.0
31,2020-04-21,-38.0,-14.0,-8.0,-49.0,-49.0,20.0
32,2020-04-22,-38.0,-14.0,-9.0,-48.0,-49.0,20.0
33,2020-04-23,-40.0,-14.0,-14.0,-50.0,-49.0,21.0
34,2020-04-24,-40.0,-16.0,-14.0,-50.0,-48.0,21.0
35,2020-04-25,-41.0,-11.0,2.0,-42.0,-32.0,12.0
36,2020-04-26,-42.0,-16.0,-11.0,-48.0,-36.0,11.0
37,2020-03-21,-43.29927903374833,-9.973530962594435,-13.962081232807622,-39.94188160861004,-26.683458771480247,12.410261377727984
38,2020-03-22,-47.31020902747371,-19.97385902687349,-17.630701588960683,-45.67029284458759,-32.16511887808697,10.711334706294771
39,2020-03-23,-39.449952896464985,-15.179310446216142,-16.905520904093382,-46.05699054359837,-42.17523449171289,18.03426672823837
40,2020-03-24,-38.66436084631311,-13.17909233636448,-9.893741049600088,-45.11004161407583,-44.009566896903436,18.941958676739855
41,2020-03-25,-37.67915007671517,-12.378936549096288,-8.689684929774181,-45.363274127737746,-44.644165166301576,19.049688178501818
42,2020-03-26,-39.69292994086102,-11.778692795362732,-10.689996694720747,-48.01679735265044,-45.87899641332179,20.210824288031173
43,2020-03-27,-41.3068356915766,-13.578572667407515,-16.695724776860178,-49.158371207133854,-46.71412645151922,21.372031611526563
44,2020-03-28,-44.46011413770082,-10.583756822142842,-14.09919851675957,-45.51117817635445,-32.15499614437826,13.451139433487286
45,2020-03-29,-48.47104413009777,-20.584084885621944,-17.767818871902527,-50.7795867284603,-37.6360179894405,11.752045527289217
46,2020-03-30,-40.61078799724777,-15.789536303339382,-17.042638186305908,-50.705707718646515,-47.645011908012464,19.074789345992805
47,2020-03-31,-39.8251959457725,-13.78931819152644,-10.030858331205145,-49.29736628836441,-49.04719516280287,19.9822887365742
48,2020-04-01,-38.83998356918382,-12.989162401021499,-8.82680221110429,-49.08909608867961,-49.24869995525978,20.08965859953707
49,2020-04-02,-40.853761826236905,-12.38891864380807,-10.82711397625582,-51.28044727428301,-50.05025095105225,21.250325926407275
