Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
"Los Angeles, CA",US,2020-02-01 19:53:03,1,0,0,34.0522,-118.2437
"Orange, CA",US,2020-02-01 19:53:03,1,0,0,33.7879,-117.8531
"San Benito, CA",US,2020-02-03 03:53:02,2,0,0,36.5761,-120.9876
"Madison, WI",US,2020-02-05 21:53:02,1,0,0,43.0731,-89.4012
,Sri Lanka,2020-02-08 03:43:03,1,0,1,7.0,81.0
Tibet,Mainland China,2020-02-12 06:43:02,1,0,1,31.6927,88.0924
,Cambodia,2020-02-12 07:43:02,1,0,1,11.55,104.9167
,Philippines,2020-02-12 07:43:02,3,1,1,13.0,122.0
,Nepal,2020-02-12 14:43:03,1,0,1,28.1667,84.25
,Russia,2020-02-12 14:43:03,2,0,2,60.0,90.0
"London, ON",Canada,2020-02-12 18:53:03,1,0,1,42.9849,-81.2453
"San Antonio, TX",US,2020-02-13 18:53:02,1,0,0,29.4241,-98.4936
,India,2020-02-16 07:43:02,3,0,3,21.0,78.0
Qinghai,Mainland China,2020-02-21 04:43:02,18,0,18,35.7452,95.9956
"Humboldt County, CA",US,2020-02-21 05:13:09,1,0,0,40.745,-123.8695
"San Diego County, CA",US,2020-02-21 05:43:02,2,0,1,32.7157,-117.1611
,Afghanistan,2020-02-24 23:33:02,1,0,0,33.0,65.0
"Lackland, TX (From Diamond Princess)",US,2020-02-24 23:33:02,0,0,0,29.3829,-98.6134
"Omaha, NE (From Diamond Princess)",US,2020-02-24 23:33:02,0,0,0,41.2545,-95.9758
"Travis, CA (From Diamond Princess)",US,2020-02-24 23:33:02,0,0,0,38.2721,-121.9399
,Vietnam,2020-02-25 08:53:02,16,0,16,16.0,108.0
"Tempe, AZ",US,2020-02-25 21:23:03,1,0,1,33.4255,-111.94
,Algeria,2020-02-25 23:43:03,1,0,0,28.0339,1.6596
Guizhou,Mainland China,2020-02-27 00:43:02,146,2,112,26.8154,106.8748
Macau,Macau,2020-02-27 12:43:02,10,0,8,22.1667,113.55
,Estonia,2020-02-27 16:23:03,1,0,0,58.5953,25.0136
,North Macedonia,2020-02-27 16:23:03,1,0,0,41.6086,21.7453
"Sacramento County, CA",US,2020-02-27 20:33:02,2,0,0,38.4747,-121.3542
" Montreal, QC",Canada,2020-02-28 05:23:07,1,0,0,45.5017,-73.5673
,Romania,2020-02-28 15:33:03,3,0,0,45.9432,24.9668
,Belarus,2020-02-28 16:23:03,1,0,0,53.7098,27.9534
,Kuwait,2020-02-28 16:23:03,45,0,0,29.5,47.75
,Lithuania,2020-02-28 16:23:03,1,0,0,55.1694,23.8813
,New Zealand,2020-02-28 16:23:03,1,0,0,-40.9006,174.886
,Nigeria,2020-02-28 16:23:03,1,0,0,9.082,8.6753
Unassigned Location (From Diamond Princess),US,2020-02-28 20:03:03,44,0,0,35.4437,139.638
"Boston, MA",US,2020-02-28 21:13:12,1,0,1,42.3601,-71.0589
,Monaco,2020-02-29 00:33:01,1,0,0,43.7333,7.4167
"Santa Clara, CA",US,2020-02-29 01:33:03,3,0,1,37.3541,-121.9552
Diamond Princess cruise ship,Others,2020-02-29 01:43:02,705,6,10,35.4437,139.638
Queensland,Australia,2020-02-29 02:03:10,9,0,1,-28.0167,153.4
Victoria,Australia,2020-02-29 02:03:10,7,0,4,-37.8136,144.9631
